"","period.group","period","group","year","month","u","v"
"312","2013-04:3","2013-04",3,2013,4,0.00123704287926665,-0.0168496768184121
"313","2013-05:1","2013-05",1,2013,5,-0.00718257311369989,0.00495504627306108
"314","2013-05:2","2013-05",2,2013,5,0.00792340291618843,-0.00993867869762162
"315","2013-05:3","2013-05",3,2013,5,0.011773185424443,-0.0190261810974923
"316","2014-01:1","2014-01",1,2014,1,-0.0408045366992249,0.105397917306166
"317","2014-01:2","2014-01",2,2014,1,-0.00988951554058584,0.0409384379162218
"318","2014-01:3","2014-01",3,2014,1,-0.0248601983362371,0.0466295888958859
"319","2014-02:1","2014-02",1,2014,2,-0.0603157724458517,0.0985445418427566
"320","2014-02:2","2014-02",2,2014,2,-0.0269542644962353,0.0594386799712343
"321","2014-02:3","2014-02",3,2014,2,-0.0353564739449715,0.0727938979719614
"322","2014-03:1","2014-03",1,2014,3,-0.0453290378882182,0.0790942703005233
"323","2014-03:2","2014-03",2,2014,3,-0.00983078850628591,0.0544444813801897
"324","2014-03:3","2014-03",3,2014,3,-0.0265596845463157,0.038333872100014
"325","2014-04:1","2014-04",1,2014,4,-0.022132293623999,0.0519097627398254
"326","2014-04:2","2014-04",2,2014,4,-0.000456728034791008,0.0405914658997035
"327","2014-04:3","2014-04",3,2014,4,-0.0131450168735412,0.0199488515429072
"328","2014-05:1","2014-05",1,2014,5,-0.0306083503712095,0.0262216586793117
"329","2014-05:2","2014-05",2,2014,5,-0.0267278466442744,0.0513857235486211
"330","2014-05:3","2014-05",3,2014,5,-0.0239278614579625,0.0129966245141681
"331","2015-01:1","2015-01",1,2015,1,-0.0300791772217535,0.10903690331813
"332","2015-01:2","2015-01",2,2015,1,-0.0132050929427862,0.0428462381126407
"333","2015-01:3","2015-01",3,2015,1,-0.0258780030891667,0.0631095065116631
"334","2015-02:1","2015-02",1,2015,2,-0.0417055885924141,0.106552267740401
"335","2015-02:2","2015-02",2,2015,2,-0.0393964932610863,0.0375253245754762
"336","2015-02:3","2015-02",3,2015,2,-0.0319640696053175,0.0536835813253725
"337","2015-03:1","2015-03",1,2015,3,-0.00876243017781976,0.0473763135530901
"338","2015-03:2","2015-03",2,2015,3,0.0182444097981697,-0.0239391944744607
"339","2015-03:3","2015-03",3,2015,3,0.00294012452317683,0.00729282453926767
"340","2015-04:1","2015-04",1,2015,4,-0.0146628140311843,0.0633284654796303
"341","2015-04:2","2015-04",2,2015,4,0.027315905534321,-0.0205042993897271
"342","2015-04:3","2015-04",3,2015,4,0.0219908630317893,-0.0285679160260673
